THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,THETA9,OMEGA11,OMEGA21,OMEGA22,OMEGA31,OMEGA32,OMEGA33,OMEGA41,OMEGA42,OMEGA43,OMEGA44,SIGMA11
14.23,10.69,22.47,14.22,-0.5257,0.5724,0.05542,0.1954,0.7317,0.09701,-0.011,0.1147,-0.007388,-0.008607,0.09263,-0.003424,-0.003464,0.005633,0.06822,0
13.91,10.39,17.91,13.59,-1.006,-0.4566,0.00985,-0.4101,1.329,0.08122,0.005687,0.1051,-0.02739,-0.009444,0.1375,0.001302,-0.01691,-0.001655,0.1004,0
15.09,8.691,18.9,11.29,-0.4076,0.9152,0.07705,0.5038,0.8688,0.06362,0.001585,0.08873,-0.001308,-0.007282,0.1204,0.004002,0.009169,0.01676,0.1008,0
14.25,10.61,21.51,14.04,-0.2709,0.5322,0.008974,0.2619,1.132,0.0773,-0.005965,0.1036,0.01018,-0.009811,0.1116,0.009434,0.005918,-0.001196,0.06618,0
14.21,12.27,18.96,13.77,-0.6251,1.362,0.02245,-0.2255,0.401,0.1006,-0.00415,0.08877,0.0159,-0.0013,0.09699,-0.01201,-0.01486,0.001613,0.08592,0
15.97,9.996,19.02,14.26,-0.3179,2.026,0.0745,-0.2968,1.371,0.08433,0.008309,0.09649,-0.007333,0.01875,0.1345,0.01117,-0.007094,-0.01238,0.07726,0
14.38,12.21,16.51,9.731,-0.396,1.503,0.09797,0.1462,0.7364,0.09299,-0.01152,0.1251,-0.01356,-0.01339,0.1028,0.0135,-0.009656,-0.01142,0.08499,0
13.72,13.24,18.47,13.01,-0.775,0.6976,0.0473,0.6597,0.7166,0.08723,0.006189,0.106,-0.02556,0.001181,0.1052,-0.001271,0.01451,0.01148,0.08684,0
14.42,10.19,17.58,12.55,-0.5242,0.3225,0.0252,0.7527,0.5557,0.1008,0.05116,0.19,-0.01235,0.01067,0.1361,0.005189,0.005933,0.01194,0.05994,0
16.33,9.276,19.39,13.29,-0.5416,0.4692,0.04435,-0.06653,0.706,0.0782,-0.008352,0.0998,-0.008082,-0.0276,0.12,-0.01166,-0.006366,-0.004959,0.1158,0
14.07,12.54,20.84,12.42,-0.8425,0.941,0.04015,0.7837,0.8251,0.1172,-0.02976,0.1536,-0.003142,-0.00018,0.07171,0.001708,-0.000393,-0.006195,0.0614,0
14.65,8.515,19.66,12.24,-0.2541,1.073,0.01572,1.052,0.7653,0.1053,-0.002102,0.1331,-0.004192,-0.004893,0.101,-0.007793,0.004508,-0.004192,0.07808,0
12.99,9.041,19.05,14.01,-0.2145,0.2855,0.0611,0.5826,0.6316,0.09881,0.0103,0.07878,-0.01682,-0.01558,0.1225,-0.007201,-0.001067,0.009743,0.08069,0
13.53,9.971,19.31,12.95,0.05715,0.4909,0.01639,1.427,0.6396,0.08417,0.01158,0.1022,-0.01633,0.01116,0.1218,0.000258,-0.007375,0.002026,0.07066,0
13.52,12.23,14.68,11.94,-0.2248,1.391,0.03238,0.3217,0.3974,0.08695,-0.006534,0.1078,-0.0107,-0.003971,0.1074,-0.001968,0.02336,0.000679,0.08137,0
14.6,9.019,20.37,11.94,-0.3997,1.224,0.0194,-0.8043,1.026,0.08333,-0.02242,0.09764,-0.00518,0.02382,0.1026,0.00422,-0.02509,0.002467,0.08392,0
14.35,12.45,17.31,12.51,-0.04327,0.05773,0.05162,0.4166,-0.1851,0.1048,0.005746,0.1052,-0.000402,-0.009254,0.08964,0.004476,0.001264,-0.009969,0.07007,0
15.51,10.37,19.74,12.1,-0.691,0.5194,0.05151,0.9385,0.3929,0.09144,0.008196,0.1529,0.02925,-0.02183,0.1092,-0.01196,-0.004576,-0.009954,0.09404,0
13.63,9.705,18.35,12.9,0.1956,0.8526,0.02506,-0.8519,0.8868,0.06813,0.01575,0.09871,0.000951,0.02523,0.1402,-0.009206,-0.01271,-0.008182,0.06295,0
15.28,10.57,15.71,14.89,-0.7684,1.76,0.06106,0.2622,0.3014,0.09094,0.01217,0.1164,-0.01968,-0.0175,0.1182,0.003134,0.008904,0.01112,0.06549,0
13.06,8.748,18.72,12.27,-0.1429,1.385,0.08805,-0.05106,0.6329,0.08483,-0.007657,0.07628,0.006016,0.003299,0.1244,0.01575,-0.01513,-0.01551,0.08364,0
15.84,10.8,17.79,14.63,0.4234,0.2189,0.02779,0.04921,0.3998,0.09238,0.004129,0.08732,-0.003693,0.005734,0.1077,0.003634,0.007466,-0.004402,0.07366,0
13.11,9.118,21.27,10.04,-0.6296,1.031,0.0505,0.1914,0.3506,0.1108,0.03377,0.09673,-0.007233,-0.01569,0.1312,-0.01793,-0.01588,0.005552,0.09306,0
15.37,10.44,17.07,15.14,-0.6446,0.4896,0.01457,-0.3854,0.5775,0.092,0.003166,0.0781,0.003553,0.01051,0.1225,0.007232,0.000956,0.006291,0.0646,0
14.34,10.58,16.73,12.25,-0.7472,0.705,0.06127,0.05676,0.5704,0.08006,0.005705,0.09199,0.007205,-0.00178,0.1082,-0.003122,-0.004986,-0.00131,0.06189,0
16.07,12.53,21.91,13.37,0.2499,1.889,0.002498,0.6137,0.877,0.1127,0.01592,0.09552,0.004642,-0.001858,0.1031,-0.004755,-0.01222,-0.003244,0.07208,0
14.75,12.76,16.21,13.94,-0.2159,1.511,-0.002566,0.4382,1.202,0.1091,-0.006975,0.1326,0.008524,0.02248,0.125,-0.003394,0.005725,-0.01269,0.06335,0
16.56,13.47,19.53,12.96,-0.5238,1.267,0.04942,0.07936,0.2587,0.08962,0.002588,0.1206,0.001963,-0.002877,0.08591,0.004091,0.003312,-0.01725,0.09261,0
14.88,11.72,21.03,13.23,-1.217,1.189,0.07514,0.4416,0.2587,0.08971,-0.01565,0.1213,-0.01855,-0.004978,0.1088,-0.01076,-0.003876,0.00191,0.07662,0
14.48,11.71,20.39,12.69,-0.46,0.8741,0.03255,0.5126,0.6516,0.08263,-0.01122,0.09376,-0.000411,-0.005386,0.1318,-0.001594,0.003872,0.02401,0.1011,0
13.86,10.15,17.31,12.21,-1.069,1.484,0.05222,-0.1933,0.5672,0.08984,-0.0147,0.1213,0.02037,-0.01695,0.0779,0.009599,-0.01251,0.000281,0.0982,0
13.31,10.14,18.35,13.16,-0.5686,1.276,0.05399,0.4762,1.133,0.09895,-0.006617,0.1078,-0.003962,-0.003803,0.1112,0.000609,0.01357,0.004137,0.08548,0
15.04,10.93,19.21,12.78,-0.3461,1.079,-0.007141,0.7857,0.5722,0.06544,0.0062,0.1099,-0.01308,-0.002495,0.1067,0.007747,-0.003228,0.001872,0.05638,0
15.45,11.11,16.54,11.92,-0.9537,2.067,0.01003,0.3107,1.003,0.08482,-0.01532,0.1237,-0.008652,0.00541,0.08391,0.003754,0.01289,-0.000385,0.08299,0
16.41,9.713,14.51,11.43,0.1956,1.297,0.01469,0.5101,0.7784,0.1071,0.03328,0.111,-0.00476,-0.009032,0.08158,0.005905,0.003594,-0.002539,0.07722,0
